Tight-Fitting Boxes (Coordinates),Dimension 1,Dimension 2,Contour Area,Tight fit box Area
"[[101  75]
 [549  70]
 [553 407]
 [105 411]]",448.02790091689604,337.0237380363585,133257.5,150996.03791159557
"[[101  74]
 [552  73]
 [553 408]
 [102 410]]",451.00110864608746,335.0014925339886,129462.5,151086.04453092284
"[[ 84 108]
 [528  11]
 [596 324]
 [153 421]]",454.47222137332,320.30142054009065,106410.5,145568.09810188494
"[[ 89  92]
 [549  73]
 [562 391]
 [102 410]]",460.392224087245,318.2656123428983,99689.5,146527.01311703588
"[[ 96 404]
 [102  73]
 [557  80]
 [552 411]]",331.05437619823124,455.0538429680602,145371.5,150647.56612039905
"[[101 392]
 [120  56]
 [560  81]
 [541 417]]",336.53677362214074,440.70965498840616,130472.5,148315.005393925
"[[102  74]
 [553  74]
 [553 410]
 [102 410]]",451.0,336.0,135428.5,151536.0
"[[ 79 374]
 [103  66]
 [575 103]
 [551 411]]",308.93364983439403,473.44799080786055,103958.5,146264.015807033
"[[ 73 351]
 [120  32]
 [570  98]
 [524 417]]",322.4437935516824,454.81424779793343,111556.0,146652.03142132057
"[[ 96  97]
 [534  73]
 [553 405]
 [114 429]]",438.6570414344217,332.54323027239633,126864.0,145872.429540335
"[[102  74]
 [553  74]
 [553 410]
 [102 410]]",451.0,336.0,139113.5,151536.0
"[[100 404]
 [105  68]
 [553  75]
 [548 410]]",336.0372003216311,448.0546841625473,134099.0,150563.04165697505
"[[101  85]
 [535  56]
 [557 380]
 [123 410]]",434.9678149012867,324.7460546334628,124069.5,141254.0817817312
"[[101 409]
 [104  73]
 [553  76]
 [550 413]]",336.0133925902359,449.0100221598623,135860.5,150873.38085295234
"[[ 96 124]
 [551  73]
 [588 395]
 [133 447]]",457.849320191698,324.11880537852164,88347.0,148397.5747039014
"[[102  74]
 [553  74]
 [553 410]
 [102 410]]",451.0,336.0,114052.5,151536.0
"[[101  78]
 [552  73]
 [556 406]
 [105 411]]",451.0277153346566,333.02402315748935,107488.5,150203.06431627818
"[[ 96 404]
 [102  73]
 [557  80]
 [552 411]]",331.05437619823124,455.0538429680602,145371.5,150647.56612039905
"[[ 96 384]
 [116  48]
 [562  75]
 [541 411]]",336.5947117825828,446.8165171521751,118489.5,150396.07681053385
"[[102 409]
 [102  74]
 [552  74]
 [552 409]]",335.0,450.0,122567.0,150750.0
"[[ 76 316]
 [182  10]
 [610 158]
 [504 464]]",323.83946640272245,452.86642622300894,107957.0,146656.02181976708
"[[102  74]
 [552  74]
 [552 409]
 [102 409]]",450.0,335.0,75663.0,150750.0
"[[102  74]
 [553  74]
 [553 410]
 [102 410]]",451.0,336.0,135645.0,151536.0
"[[ 86 391]
 [143  68]
 [573 144]
 [516 467]]",327.9908535310093,436.6646310385122,112034.0,143222.00504112488
"[[ 76 374]
 [131  73]
 [569 153]
 [514 454]]",305.9836596944353,445.24599942054505,102438.5,136238.00036700477
"[[ 78  86]
 [539  41]
 [570 365]
 [109 410]]",463.1911052686569,325.4796460610095,113689.5,150759.27700145022
"[[102  74]
 [552  74]
 [552 409]
 [102 409]]",450.0,335.0,75663.0,150750.0
"[[ 94  82]
 [543  69]
 [553 397]
 [104 410]]",449.1881565669335,328.1524036175874,132583.5,147402.17325399243
"[[102  74]
 [553  74]
 [553 410]
 [102 410]]",451.0,336.0,150115.0,151536.0
"[[102  74]
 [553  74]
 [553 410]
 [102 410]]",451.0,336.0,148899.5,151536.0
"[[ 57 335]
 [105  55]
 [576 135]
 [528 416]]",284.08449447303525,477.74574828040073,104881.0,135720.1593868796
"[[102  74]
 [553  74]
 [553 410]
 [102 410]]",451.0,336.0,150803.0,151536.0
"[[ 96  88]
 [552  73]
 [563 395]
 [106 410]]",456.2466438232724,322.18783341398847,143497.0,146997.11767582383
"[[ 95  80]
 [549  68]
 [558 399]
 [104 411]]",454.1585626188281,331.1223338888514,138466.5,150382.04320995245
"[[103  74]
 [553  74]
 [553 410]
 [103 410]]",450.0,336.0,122089.0,151200.0
"[[ 85  82]
 [543  59]
 [559 387]
 [102 410]]",458.57714727186305,328.3900120283807,99316.0,150592.1549085476
"[[102 409]
 [102  74]
 [552  74]
 [552 409]]",335.0,450.0,150360.5,150750.0
"[[102  74]
 [553  74]
 [553 410]
 [102 410]]",451.0,336.0,109982.5,151536.0
"[[102  74]
 [553  74]
 [553 410]
 [102 410]]",451.0,336.0,148033.5,151536.0
